Entity,Label
sulfurization,event
death of kras mutant cells,event
silver oxide,material
cytoprotective,property
doxubicin,material
ionisation,property
polymeric cation,material
crosslinking of dna,event
gadolinium hydroxide,material
viability of k562 / d cells,property
lanthanide,material
polymeric coating,material
magnetic force microscopy,technique
reducing agent gel electrophoresis,technique
surface modifiers,property
strontium,material
fluorescence water,property
immunoglobulin genes,material
spacer18,material
spectroscopy magnetic,technique
polymeric,nanoparticle
polynucleotides,material
cystine,material
fluorescence imaging small tumors,technique
activity of small molecule enzyme,property
fluorescence tumor imaging,technique
bioavailabilities,property
microcapillary electrophoresis,technique
hydrophilic,property
nanomaterial characterization,technique
cationic nanoparticles,nanoparticle
polypeptides,material
selenium nanoparticles,nanoparticle
anticancer,property
titania,material
atomic number,property
paramagnetic,property
bleomycin,material
surface hydroxyl groups groups,nanoparticle
contrast agent,technique
magnetic cores,material
vehicles,material
crosslinking dna,event
carboxylic acid functional groups,material
biomarker imaging,technique
polar aprotic solvents,material
gold nanoparticles the,property
cell death of skbr-3 cells,property
cells contrast agents,technique
imaging,technique
magnetic,technique
infectivity,property
conjugated,material
water insoluble,property
polyacrylamide gel electrophoresis gels,technique
inorganic nanomaterials,material
tumor nanoparticles,nanoparticle
modifications of the dna,event
polypeptide,material
biocompatible np,material
antivirals,property
imaging of excised tumor,technique
,nanoparticle
binding to other proteins,event
fluorescent magnetic bifunctional nanoparticles,nanoparticle
imaging b16 melanoma tumors,technique
lysine groups,material
silica nanoparticle,nanoparticle
silica coating,material
spherical gold nanoparticles,nanoparticle
bioluminescence,property
amino acids metal,material
iron atoms,material
biocompatible,property
core shell,nanoparticle
inorganic nanofibers,nanoparticle
incubation ammonium group,material
metal−oxide−semiconductor,material
metallic oxides,material
oxidizing,property
core / shell nanoparticles,nanoparticle
nanocages,nanoparticle
dna in binding,event
ionizable amines,material
cells microscopy,technique
ion specificity,property
cell agents for brain tumor,technique
nanoassay,nanoparticle
modifications of dna,event
antimicrobial,property
titanium dioxide,material
magnetically,property
iron nanoparticles,nanoparticle
hydrophobic stacking interactions,property
cells protein,event
fluospheres,nanoparticle
unilamellar vesicle,material
nanopolymers,nanoparticle
potassium atoms,material
alanines,material
magnetic core,material
nanoshells nanocages,nanoparticle
iodide nanoparticle,nanoparticle
primary amine of lysine,material
division of brain cells,event
fluorescence imaging tumor,technique
magnetic agents,material
polymers linkages,property
enzyme activity of,property
electrophoretic mobility,property
coatings,material
incubation for,technique
amine molecule,material
adhesion of cells,event
immunomodulation,property
modifications of the dna-,material
polymeric fluorescent nanoparticles,nanoparticle
magnetic,nanoparticle
activity of an enzyme,property
characterization technique for,technique
histidine,material
cysteines,material
magnetic transmission electron microscopy,technique
magnetic imaging,technique
vehicle,material
adsorbents,property
enzyme ' s activity,property
activity of enzymes,property
protein coronas,material
folate receptor binding,event
cytotoxics,property
viability of u87 cells tetrazolium,property
reducing agents,property
modifications in dna,event
reducing agent,property
magnetic,property
shell of silica,material
organic matter,material
alkyl azide groups,material
monoclonal primary antibody,material
spherical micellar nanoparticles,nanoparticle
spherical nanoparticles,nanoparticle
iron atom,material
metallic ag nanoparticles,nanoparticle
gold nanoparticles based on,technique
tomography,technique
nanowires,nanoparticle
clay,property
fluorescence controlled imaging,technique
multi-walled nanotubes,nanoparticle
oxide nanoparticle,technique
dendrimer end,material
carbon atom,material
adhesion of blood cells,event
biocompatibilities,property
ionisable,property
nanomaterial,material
immunoglobulin g1,material
metal / nanoparticle,nanoparticle
intramolecular non-covalent interactions,property
binding of various proteins,event
ionization spectroscopy,technique
binding to tlr receptors,event
chemical vapor,technique
barrier lipid nanoparticles,nanoparticle
contrast agents for imaging,technique
nanofilament,nanoparticle
enzyme activity enzyme,property
luminesce,property
binding cytosolic dna,event
imaging of the fluorescence,technique
imaging tomography,technique
organic polymer,material
cellular uptake processes,event
nanowire,nanoparticle
silver atom,material
coatings-inflammatory,property
gelatin nanoparticles,nanoparticle
silicon dots,nanoparticle
nanoparticle binding,event
intermolecular binding,event
activity of the enzymes,property
folate,event
hydrogen chloride,material
fluorescence spectroscopy,technique
capillary zone electrophoresis,technique
lipid mediated endocytosis,event
cellular processes including,event
fluorescein,property
incipient,property
hydroxide,material
imines,material
diagnostic imaging of brain tumors,technique
steroidal anti-inflammatory,property
metallic nanoparticles gold,nanoparticle
spherical gold nanoparticle,nanoparticle
riboprobe,nanoparticle
organic material,material
size-exclusion chromatography,technique
metal selenide,material
metal thiolate,material
electron microscopies,technique
pathologic processes,event
tin oxides,material
protein ' s activity,property
cell units,material
glycolic acids,material
fluorescent polymer nanoparticles,nanoparticle
carbon atoms,material
metal−organic,material
primary amine groups,material
metallic cores,material
oxygen−hemoglobin,material
carboxylate bi-functional group,material
biocompatibility,property
copper oxides,material
hydrophilicity,property
gold nanoparticles,nanoparticle
phenylalanine,material
lanthanide nanoparticles,nanoparticle
optical coherence tomography,technique
electroluminescent,property
chitosan nanofibers,nanoparticle
hydrophobised,property
groups,nanoparticle
organic coatings,material
cell viability of 4t1-fluc,property
dedrimers,nanoparticle
nucleic acid nanoparticle,nanoparticle
efficiency of pgfp transfection,property
characterization of the,technique
binding protein,event
dna / dna binding,event
spherical nanoparticle,nanoparticle
micelle acid,material
gold nanoparticle nanoparticle,nanoparticle
gelatin binding,event
ionizability,property
fluorescence correlation spectroscopy,technique
carboxyl (-cooh,material
carboxylic acids,material
nanostructured,material
binding to cell surface receptors,material
electron microscopies of the,technique
binding of plasma proteins,event
ions on,event
contrast agents,material
fluorescence targeted imaging,technique
polyacrylamide gel for electrophoresis,technique
coating silica,material
refrigerate,property
tin atoms,material
magnetic microparticles,nanoparticle
intermolecular hydrogen bonding interactions,property
electron tomography,technique
confocal laser scanning fluorescence,technique
microscopy for imaging,technique
organic coating,material
primary amine groups to sulfhydryl,material
metal atoms,material
titanium dioxide,nanoparticle
magnetic nanomaterials,material
groups to the surface,nanoparticle
binding of opsonin proteins,event
polymer-coated silica nanoparticles,nanoparticle
metallic nanowires,nanoparticle
magnetic polymeric nanoparticles,nanoparticle
imine,material
proteins corona,material
nanopeptides,nanoparticle
cispltain,material
agarose gel electrophoresis,technique
protein hydrophobic,property
nanoparticle tumor,technique
polymer the,property
folic acid,material
core-shell,nanoparticle
protein coronae,material
nanoparticles of the,technique
fluorescence magnetic,technique
[CLS],technique
gold nanoparticle,nanoparticle
nucleic shell,material
secondary amine group,material
nanomaterials acid,material
carboxylic acid,material
polymer corona,material
h,material
immunomodulation,material
inorganic nanomaterials [SEP],material
immunoglobulin (,material
metal atom,material
amphiphillic,property
contrast agent,material
nanoparticle electrophoresis,technique
imaging of the brain tumor,technique
binding with receptors,event
inorganic upconversion nanoparticles,nanoparticle
cysteine,material
characterization of magnetic nanoparticles,technique
silica nanoparticles,nanoparticle
targeting ligandst,material
lipids water,material
nanocage,nanoparticle
unilamellar vesiclesa,material
immunoglobulins,material
polymeric nanoparticles for,technique
small unilamellar vesicle,material
binding of the proteins proteins,event
clay,material
binding between the protein,event
characterization of,technique
sulfhydryl groups,material
coating,material
lactic acids,material
non-surfactant,property
proteins group,technique
cells living tumor,technique
separation techniques,technique
nanoparticle assays,technique
metallic au core,material
radiochemical,property
polymeric protective shell,material
nanomaterials,material
core nanoparticle,nanoparticle
viability of pten-deficient breast cancer cells,property
polypeptide sequence,material
silicon nanowires,nanoparticle
zinc oxide,material
contrast agents,technique
potassium chloride,material
death,event
polynucleotide,material
alcohol spectroscopy,technique
amine functional groups,material
viability of mcf-10a cells,property
cells of,event
non,nanoparticle
liposoluble,property
silvers,material
carbon atom of,material
potassium,material
bioluminescent,property
surface silanol groups,nanoparticle
tumor magnetic resonance imaging,technique
